,dense_activation,optimizer_choice,dense_neurons,dense_dropout,second_dense_layer,epochs,train_loss,train_f1_metric,train_accuracy,val_loss,val_f1_metric,val_accuracy
0,relu,Adam,256,0.3,-1,10,0.44782060384750366,0.8343681693077087,0.8401544690132141,0.5345575213432312,0.8349536657333374,0.8296639919281006
1,relu,Adam,256,0.3,128,11,0.5312889218330383,0.7992902994155884,0.7980694770812988,0.4945826232433319,0.8301584124565125,0.8215526938438416
2,relu,Adam,256,0.5,-1,12,0.4825802743434906,0.8281758427619934,0.8266409039497375,0.5117155909538269,0.8326408267021179,0.8227114677429199
3,relu,Adam,256,0.5,128,21,0.4700929522514343,0.8262007832527161,0.8293436169624329,0.4818071722984314,0.8312495946884155,0.8273464441299438
4,relu,Adam,256,0.7,-1,6,0.654556930065155,0.7687055468559265,0.7694980502128601,0.5215622782707214,0.8135907649993896,0.8099652528762817
5,relu,Adam,256,0.7,128,9,0.6623510718345642,0.7579554915428162,0.7583011388778687,0.5216127634048462,0.8134464025497437,0.805330216884613
6,relu,Adam,512,0.3,-1,17,0.3908365070819855,0.8626312017440796,0.8633204698562622,0.48876869678497314,0.8428106904029846,0.8377752304077148
7,relu,Adam,512,0.3,128,18,0.43456578254699707,0.8430819511413574,0.8413127660751343,0.49980059266090393,0.8274986147880554,0.820393979549408
8,relu,Adam,512,0.5,-1,5,0.5598976612091064,0.7945209741592407,0.7976834177970886,0.5384801626205444,0.8142187595367432,0.8018540143966675
9,relu,Adam,512,0.5,128,6,0.6521767377853394,0.7687485814094543,0.7718146443367004,0.520815372467041,0.8056818246841431,0.7995365262031555
10,relu,Adam,512,0.7,-1,19,0.5160182118415833,0.8161115050315857,0.8131273984909058,0.5054876804351807,0.8240637183189392,0.818076491355896
11,relu,Adam,512,0.7,128,28,0.5263195633888245,0.7997175455093384,0.8038610219955444,0.47866013646125793,0.8332964181900024,0.8273464441299438
12,relu,Adam,1024,0.3,-1,10,0.44076138734817505,0.8416768312454224,0.8432432413101196,0.5486796498298645,0.8166348934173584,0.815759003162384
13,relu,Adam,1024,0.3,128,22,0.39013102650642395,0.8618016242980957,0.8602316379547119,0.4979042112827301,0.8370028138160706,0.8227114677429199
14,relu,Adam,1024,0.5,-1,3,0.6906224489212036,0.7641227841377258,0.7629343867301941,0.5766494870185852,0.8117727637290955,0.8006952404975891
